date,open,high,low,close,volume
2017-10-03T03:15:00,1.17141,1.17142,1.17110,1.17116,83
2017-10-03T03:30:00,1.17116,1.17123,1.17059,1.17076,506
2017-10-03T03:45:00,1.17082,1.17082,1.17036,1.17049,336
2017-10-03T04:00:00,1.17048,1.17075,1.17042,1.17062,167
2017-10-03T04:15:00,1.17056,1.17074,1.17050,1.17067,160
2017-10-03T04:30:00,1.17066,1.17092,1.17066,1.17086,66
2017-10-03T04:45:00,1.17080,1.17088,1.17062,1.17067,98
2017-10-03T05:00:00,1.17072,1.17072,1.17025,1.17032,259
2017-10-03T05:15:00,1.17032,1.17040,1.16962,1.16986,468
2017-10-03T05:30:00,1.16991,1.17094,1.16991,1.17051,477
2017-10-03T05:45:00,1.17055,1.17079,1.16987,1.17059,518
2017-10-03T06:00:00,1.17059,1.17125,1.17024,1.17075,601
2017-10-03T06:15:00,1.17075,1.17143,1.17075,1.17132,507
2017-10-03T06:30:00,1.17133,1.17206,1.17126,1.17180,658
2017-10-03T06:45:00,1.17181,1.17240,1.17138,1.17228,611
2017-10-03T07:00:00,1.17228,1.17254,1.17194,1.17216,578
2017-10-03T07:15:00,1.17216,1.17376,1.17208,1.17342,872
2017-10-03T07:30:00,1.17341,1.17392,1.17314,1.17317,675
2017-10-03T07:45:00,1.17322,1.17438,1.17318,1.17430,728
2017-10-03T08:00:00,1.17435,1.17479,1.17418,1.17453,610
2017-10-03T08:15:00,1.17453,1.17474,1.17398,1.17408,445
2017-10-03T08:30:00,1.17404,1.17430,1.17362,1.17368,612
2017-10-03T08:45:00,1.17364,1.17404,1.17330,1.17330,483
2017-10-03T09:00:00,1.17328,1.17386,1.17326,1.17362,532
2017-10-03T09:15:00,1.17358,1.17442,1.17352,1.17436,383
2017-10-03T09:30:00,1.17436,1.17500,1.17436,1.17458,327
2017-10-03T09:45:00,1.17458,1.17478,1.17358,1.17363,385
2017-10-03T10:00:00,1.17360,1.17442,1.17356,1.17413,320
2017-10-03T10:15:00,1.17414,1.17457,1.17390,1.17452,387
2017-10-03T10:30:00,1.17454,1.17508,1.17446,1.17498,395
2017-10-03T10:45:00,1.17496,1.17588,1.17492,1.17560,790
2017-10-03T11:00:00,1.17562,1.17588,1.17548,1.17576,306
2017-10-03T11:15:00,1.17572,1.17623,1.17556,1.17560,319
2017-10-03T11:30:00,1.17556,1.17574,1.17526,1.17564,358
2017-10-03T11:45:00,1.17560,1.17562,1.17494,1.17497,416
2017-10-03T12:00:00,1.17498,1.17534,1.17487,1.17530,393
2017-10-03T12:15:00,1.17526,1.17526,1.17460,1.17468,375
2017-10-03T12:30:00,1.17464,1.17488,1.17380,1.17382,506
2017-10-03T12:45:00,1.17380,1.17488,1.17380,1.17488,417
2017-10-03T13:00:00,1.17486,1.17527,1.17472,1.17498,351
2017-10-03T13:15:00,1.17496,1.17580,1.17496,1.17555,418
2017-10-03T13:30:00,1.17557,1.17590,1.17528,1.17564,669
2017-10-03T13:45:00,1.17564,1.17612,1.17546,1.17552,636
2017-10-03T14:00:00,1.17549,1.17738,1.17538,1.17658,1071
2017-10-03T14:15:00,1.17660,1.17681,1.17610,1.17632,458
2017-10-03T14:30:00,1.17631,1.17643,1.17603,1.17624,635
2017-10-03T14:45:00,1.17620,1.17642,1.17530,1.17532,565
2017-10-03T15:00:00,1.17535,1.17624,1.17531,1.17616,527
2017-10-03T15:15:00,1.17612,1.17640,1.17597,1.17620,399
2017-10-03T15:30:00,1.17625,1.17625,1.17579,1.17595,219
